Humidity,Max_temp,Wind_speed,city,date,latitude,longitude
44,84.99,6.93,miles city,1564246244,46.41,-105.84
51,84.2,14.99,kalamazoo,1564246052,42.29,-85.59
93,59.0,5.82,gladstone,1564246244,-23.84,151.26
72,53.51,5.59,port lincoln,1564246244,-34.72,135.86
82,64.49,1.21,gebre guracha,1564246244,9.8,38.4
86,52.43,1.01,chipinge,1564246245,-20.19,32.62
99,56.39,5.03,khuzhir,1564246245,53.19,107.35
94,71.6,17.22,quatre cocos,1564246245,-20.21,57.76
43,89.51,5.06,santo antonio do ica,1564246245,-3.1,-67.94
66,84.0,14.0,goderich,1564246246,43.74,-81.71
87,73.0,20.8,harstad,1564246246,68.8,16.53
68,68.0,8.95,sarmanovo,1564246246,55.25,52.59
74,64.49,4.7,abdulino,1564246246,53.68,53.66
79,90.0,9.46,nome,1564246246,30.04,-94.42
16,92.57,8.7,waddan,1564246247,29.16,16.14
85,80.33,13.18,bubaque,1564246247,11.28,-15.83
29,91.4,6.13,safford,1564246247,32.83,-109.71
82,80.69,19.84,hambantota,1564246247,6.12,81.12
50,90.59,6.96,oriximina,1564246248,-1.77,-55.87
74,78.8,16.11,vonyarcvashegy,1564246248,46.76,17.31
83,78.01,18.34,lagoa,1564246084,37.14,-8.45
68,69.8,12.75,plouzane,1564246248,48.38,-4.62
51,89.33,16.53,qandala,1564246248,11.47,49.87
74,84.2,3.09,palmito,1564246249,9.33,-75.54
84,85.73,10.4,bani,1564246249,16.02,42.93
89,60.71,1.92,dalmatovo,1564246249,56.26,62.94
89,60.71,1.92,unye,1564246249,56.26,62.94
91,72.59,7.05,gorontalo,1564246250,0.54,123.06
81,52.0,5.3,palmer,1564246250,-34.85,139.16
90,75.65,5.88,yenagoa,1564246250,4.92,6.26
69,81.0,4.7,bud,1564246250,62.91,6.91
69,81.0,4.7,burica,1564246250,62.91,6.91
79,89.6,9.17,oussouye,1564246251,12.49,-16.54
73,76.19,8.59,conde,1564246251,-11.81,-37.61
83,77.0,6.93,lahaina,1564246251,20.87,-156.68
78,82.0,8.05,mier,1564246251,46.13,12.19
78,82.0,8.05,khonuu,1564246251,46.13,12.19
78,82.0,8.05,karamay,1564246251,46.13,12.19
64,67.55,9.75,yantal,1564246252,56.85,105.25
82,70.25,2.77,yongan,1564246074,39.7,113.69
42,86.0,8.05,lohja,1564246252,60.25,24.07
41,78.8,5.82,mahajanga,1564246252,-15.72,46.32
97,73.31,0.27,gunupur,1564246253,19.07,83.81
66,65.21,8.37,khash,1564246253,28.22,61.21
35,87.01,17.22,winsum,1564246253,53.33,6.52
83,68.99,4.7,male,1564246253,50.74,33.7
35,50.0,4.7,neuquen,1564246076,-38.95,-68.06
60,71.01,6.93,ferndale,1564246254,48.85,-122.59
57,85.55,10.2,aden,1564246221,12.79,45.03
77,73.0,3.36,pacifica,1564246230,37.61,-122.49
53,86.0,10.16,shache,1564246136,38.42,77.24
47,80.6,13.87,chapais,1564246254,49.78,-74.86
47,80.6,13.87,asau,1564246254,49.78,-74.86
92,47.39,22.19,nadym,1564246254,65.53,72.51
80,52.0,3.0,murray bridge,1564246255,-35.12,139.28
78,82.31,12.39,dhidhdhoo,1564246255,6.88,73.1
87,75.11,2.57,dingle,1564246255,11.0,122.67
98,61.97,8.14,mukhen,1564246255,48.19,136.14
94,64.67,8.79,hailar,1564246255,49.2,119.7
67,82.49,3.29,kudahuvadhoo,1564246256,2.67,72.89
67,82.49,3.29,barbar,1564246256,2.67,72.89
97,69.17,3.49,kamaishi,1564246256,39.28,141.86
36,72.77,15.5,karratha,1564246256,-20.74,116.85
72,59.0,4.0,mercedes,1564246256,-33.25,-58.03
68,73.99,12.75,carballo,1564246257,43.21,-8.69
42,84.99,3.36,orahovac,1564246257,42.4,20.65
93,59.0,9.17,ketchikan,1564245964,55.34,-131.65
78,75.2,8.05,tiarei,1564246257,-17.53,-149.33
78,75.2,8.05,stekolnyy,1564246257,-17.53,-149.33
48,91.0,9.17,destin,1564245996,30.39,-86.5
98,74.03,1.23,jiaocheng,1564246258,24.68,116.14
78,77.0,13.87,szazhalombatta,1564246258,47.33,18.92
76,51.8,25.28,iqaluit,1564246258,63.75,-68.52
76,51.8,25.28,sumbawa,1564246258,63.75,-68.52
79,81.59,12.55,ormara,1564246125,25.21,64.64
62,86.0,13.87,tipitapa,1564246259,12.2,-86.1
62,86.0,13.87,satitoa,1564246259,12.2,-86.1
87,77.63,4.12,helong,1564246259,25.94,116.13
70,84.29,3.15,jeremie,1564246259,18.65,-74.12
61,45.59,4.05,verkhoyansk,1564246260,67.55,133.39
69,77.0,9.17,ribeira brava,1564246260,32.65,-17.07
88,80.01,10.29,meaford,1564246260,44.61,-80.59
88,75.99,4.7,yamada,1564246260,36.58,137.08
88,75.99,4.7,tumannyy,1564246260,36.58,137.08
88,75.99,4.7,chengmai,1564246260,36.58,137.08
83,78.8,8.05,touros,1564246261,-5.2,-35.46
76,70.97,4.21,maumere,1564246261,-8.63,122.22
76,70.97,4.21,phan rang,1564246261,-8.63,122.22
76,70.97,4.21,bargal,1564246261,-8.63,122.22
45,91.0,3.62,sylacauga,1564246261,33.17,-86.25
39,82.4,10.29,rovaniemi,1564246261,66.5,25.72
36,78.8,3.36,porto novo,1564246262,-23.68,-45.44
27,77.63,15.55,hami,1564246262,42.84,93.51
81,50.0,8.05,sunbury,1564246262,-37.58,144.73
72,82.67,0.54,sibolga,1564246262,1.74,98.78
93,55.0,8.68,henties bay,1564246263,-22.12,14.28
22,101.39,3.02,filingue,1564246263,14.35,3.32
27,91.85,7.31,jaru,1564246263,-10.43,-62.48
83,80.33,16.42,srivardhan,1564246263,18.03,73.02
46,75.0,8.05,merrill,1564246264,42.03,-121.6
65,82.4,9.17,rovira,1564246264,4.24,-75.24
63,83.93,9.89,tiruchchendur,1564246264,8.48,78.12
63,83.93,9.89,marcona,1564246264,8.48,78.12
78,80.6,6.93,kuching,1564246264,1.56,110.34
94,74.39,6.11,naze,1564246265,5.43,7.07
46,91.4,17.22,itarema,1564246265,-2.92,-39.92
71,55.4,6.71,barsovo,1564246265,61.17,73.17
92,75.11,6.02,ughelli,1564246265,5.49,6.0
80,57.11,6.93,tayshet,1564246265,55.94,98.01
42,84.99,5.82,sheridan,1564246265,39.65,-105.03
87,50.0,25.28,zapolyarnyy,1564246266,69.43,30.82
90,49.01,3.83,severo-yeniseyskiy,1564246266,60.37,93.04
100,53.01,8.05,kiama,1564246266,-34.67,150.86
95,73.49,3.6,tezu,1564246267,27.93,96.16
77,78.35,9.08,trincomalee,1564246267,8.58,81.23
82,59.0,14.99,mackay,1564246267,53.65,-115.58
82,79.79,10.38,panguna,1564246267,-6.32,155.48
35,60.17,5.53,kasempa,1564246268,-13.46,25.83
52,62.69,4.83,tsiroanomandidy,1564246268,-18.77,46.05
